sepal_length,sepal_width,petal_length,petal_width,iris_species,length_difference,width_difference,distance,rank,,,,,,
4.9,2.4,3.3,1,Iris-versicolor,1.44,9.61,3.324154028,64,,,,,,
5.9,3,4.2,1.5,Iris-versicolor,4.84,6.25,3.330165161,65,,,,,,
5.9,3,5.1,1.8,Iris-virginica,4.84,6.25,3.330165161,65,,,,,,
6.3,3.4,5.6,2.4,Iris-virginica,6.76,4.41,3.342154993,67,,,,,,
5.7,2.8,4.5,1.3,Iris-versicolor,4,7.29,3.360059523,68,,,,,,
5.7,2.8,4.1,1.3,Iris-versicolor,4,7.29,3.360059523,68,,,,,,
5.6,2.7,4.2,1.3,Iris-versicolor,3.61,7.84,3.383784863,70,,,,,,
6,3,4.8,1.8,Iris-virginica,5.29,6.25,3.39705755,71,,,,,,
6.3,3.3,4.7,1.6,Iris-versicolor,6.76,4.84,3.405877273,72,,,,,,
6.3,3.3,6,2.5,Iris-virginica,6.76,4.84,3.405877273,72,,,,,,
5.5,2.6,4.4,1.2,Iris-versicolor,3.24,8.41,3.413209633,74,,,,,,
5.8,2.8,5.1,2.4,Iris-virginica,4.41,7.29,3.420526275,75,,,,,,
5,2.3,3.3,1,Iris-versicolor,1.69,10.24,3.453983208,76,,,,,,
6.1,3,4.6,1.4,Iris-versicolor,5.76,6.25,3.46554469,77,,,,,,
6.1,3,4.9,1.8,Iris-virginica,5.76,6.25,3.46554469,77,,,,,,
6,2.9,4.5,1.5,Iris-versicolor,5.29,6.76,3.471310992,79,,,,,,
5.5,2.5,4,1.3,Iris-versicolor,3.24,9,3.498571137,80,,,,,,
5.8,2.7,4.1,1,Iris-versicolor,4.41,7.84,3.5,81,,,,,,
5.8,2.7,3.9,1.2,Iris-versicolor,4.41,7.84,3.5,81,,,,,,
5.8,2.7,5.1,1.9,Iris-virginica,4.41,7.84,3.5,81,,,,,,
5.8,2.7,5.1,1.9,Iris-virginica,4.41,7.84,3.5,81,,,,,,
5.7,2.6,3.5,1,Iris-versicolor,4,8.41,3.522782991,85,,,,,,
6.1,2.9,4.7,1.4,Iris-versicolor,5.76,6.76,3.538361203,86,,,,,,
6.4,3.2,4.5,1.5,Iris-versicolor,7.29,5.29,3.54682957,87,,,,,,
6.4,3.2,5.3,2.3,Iris-virginica,7.29,5.29,3.54682957,87,,,,,,
5.6,2.5,3.9,1.1,Iris-versicolor,3.61,9,3.551056181,89,,,,,,
5.8,2.6,4,1.2,Iris-versicolor,4.41,8.41,3.580502758,90,,,,,,
5.5,2.4,3.8,1.1,Iris-versicolor,3.24,9.61,3.584689666,91,,,,,,
5.5,2.4,3.7,1,Iris-versicolor,3.24,9.61,3.584689666,91,,,,,,
5.7,2.5,5,2,Iris-virginica,4,9,3.605551275,93,,,,,,
6.2,2.9,4.3,1.3,Iris-versicolor,6.25,6.76,3.606937759,94,,,,,,
6.1,2.8,4,1.3,Iris-versicolor,5.76,7.29,3.612478374,95,,,,,,
6.1,2.8,4.7,1.2,Iris-versicolor,5.76,7.29,3.612478374,95,,,,,,
6.4,3.1,5.5,1.8,Iris-virginica,7.29,5.76,3.612478374,97,,,,,,
6.5,3.2,5.1,2,Iris-virginica,7.84,5.29,3.623534186,98,,,,,,
6,2.7,5.1,1.6,Iris-versicolor,5.29,7.84,3.623534186,98,,,,,,
5.5,2.3,4,1.3,Iris-versicolor,3.24,10.24,3.67151195,100,,,,,,
6.3,2.9,5.6,1.8,Iris-virginica,6.76,6.76,3.676955262,101,,,,,,
6.2,2.8,4.8,1.8,Iris-virginica,6.25,7.29,3.679673899,102,,,,,,
6.7,3.3,5.7,2.1,Iris-virginica,9,4.84,3.720215048,103,,,,,,
6.7,3.3,5.7,2.5,Iris-virginica,9,4.84,3.720215048,103,,,,,,
5,2,3.5,1,Iris-versicolor,1.69,12.25,3.733630941,105,,,,,,
6.4,2.9,4.3,1.3,Iris-versicolor,7.29,6.76,3.748332963,106,,,,,,
6.3,2.8,5.1,1.5,Iris-virginica,6.76,7.29,3.748332963,106,,,,,,
6.5,3,5.8,2.2,Iris-virginica,7.84,6.25,3.753664876,108,,,,,,
6.5,3,5.5,1.8,Iris-virginica,7.84,6.25,3.753664876,108,,,,,,
6.5,3,5.2,2,Iris-virginica,7.84,6.25,3.753664876,108,,,,,,
6.1,2.6,5.6,1.4,Iris-virginica,5.76,8.41,3.764306045,111,,,,,,
6.4,2.8,5.6,2.1,Iris-virginica,7.29,7.29,3.818376618,112,,,,,,
6.4,2.8,5.6,2.2,Iris-virginica,7.29,7.29,3.818376618,112,,,,,,
6.3,2.7,4.9,1.8,Iris-virginica,6.76,7.84,3.820994635,114,,,,,,
6.6,3,4.4,1.4,Iris-versicolor,8.41,6.25,3.828837944,115,,,,,,
6.7,3.1,4.4,1.4,Iris-versicolor,9,5.76,3.841874542,116,,,,,,
6.7,3.1,4.7,1.5,Iris-versicolor,9,5.76,3.841874542,116,,,,,,
6.7,3.1,5.6,2.4,Iris-virginica,9,5.76,3.841874542,116,,,,,,
6.8,3.2,5.9,2.3,Iris-virginica,9.61,5.29,3.860051813,119,,,,,,
6.5,2.8,4.6,1.5,Iris-versicolor,7.84,7.29,3.889730068,120,,,,,,
6.4,2.7,5.3,1.9,Iris-virginica,7.29,7.84,3.889730068,120,,,,,,
6.6,2.9,4.6,1.3,Iris-versicolor,8.41,6.76,3.894868419,122,,,,,,
6.7,3,5,1.7,Iris-versicolor,9,6.25,3.905124838,123,,,,,,
6.7,3,5.2,2.3,Iris-virginica,9,6.25,3.905124838,123,,,,,,
6.9,3.2,5.7,2.3,Iris-virginica,10.24,5.29,3.940812099,125,,,,,,
6.3,2.5,4.9,1.5,Iris-versicolor,6.76,9,3.969886648,126,,,,,,
6.3,2.5,5,1.9,Iris-virginica,6.76,9,3.969886648,126,,,,,,
6.8,3,5.5,2.1,Iris-virginica,9.61,6.25,3.98246155,128,,,,,,
7.2,3.6,6.1,2.5,Iris-virginica,12.25,3.61,3.98246155,129,,,,,,
6.9,3.1,4.9,1.5,Iris-versicolor,10.24,5.76,4,130,,,,,,
6.9,3.1,5.4,2.1,Iris-virginica,10.24,5.76,4,130,,,,,,
6.9,3.1,5.1,2.3,Iris-virginica,10.24,5.76,4,130,,,,,,
7,3.2,4.7,1.4,Iris-versicolor,10.89,5.29,4.022437072,133,,,,,,
6,2.2,4,1,Iris-versicolor,5.29,10.89,4.022437072,133,,,,,,
6,2.2,5,1.5,Iris-virginica,5.29,10.89,4.022437072,133,,,,,,
6.8,2.8,4.8,1.4,Iris-versicolor,9.61,7.29,4.110960958,136,,,,,,
6.3,2.3,4.4,1.3,Iris-versicolor,6.76,10.24,4.123105626,137,,,,,,
6.2,2.2,4.5,1.5,Iris-versicolor,6.25,10.89,4.140048309,138,,,,,,
7.2,3.2,6,1.8,Iris-virginica,12.25,5.29,4.188078318,139,,,,,,
7.1,3,5.9,2.1,Iris-virginica,11.56,6.25,4.220189569,140,,,,,,
6.7,2.5,5.8,1.8,Iris-virginica,9,9,4.242640687,141,,,,,,
7.2,3,5.8,1.6,Iris-virginica,12.25,6.25,4.301162634,142,,,,,,
7.7,3.8,6.7,2.2,Iris-virginica,16,2.89,4.346262762,143,,,,,,
7.3,2.9,6.3,1.8,Iris-virginica,12.96,6.76,4.440720662,144,,,,,,
7.9,3.8,6.4,2,Iris-virginica,17.64,2.89,4.531004304,145,,,,,,
7.4,2.8,6.1,1.9,Iris-virginica,13.69,7.29,4.580392996,146,,,,,,
7.6,3,6.6,2.1,Iris-virginica,15.21,6.25,4.632493929,147,,,,,,
7.7,3,6.1,2.3,Iris-virginica,16,6.25,4.716990566,148,,,,,,
7.7,2.8,6.7,2,Iris-virginica,16,7.29,4.825971405,149,,,,,,
7.7,2.6,6.9,2.3,Iris-virginica,16,8.41,4.940647731,150,,,,,,
